                  89           A3           AJ           AS           Az           BG           BX           BZ           Bd           Bx           CH           CS           Cg           Ch           Ck           D4           Dx           Eq           FR           G8           Gb           Ge           I2           I8           I9           IJ           IX           Ik           KR           KZ           Kb           Kn           Kp           L8           Lf           Lk           M4           Mb           N8           Nc           Ns           O3           Oe           Oq           Ov           P3           PS           Pa           Pp           Q9           QU           Rt           Rw           Rx           S5           S8           Sy           T3           T7           Tk           Tw           U2           Ub           Uj           Uv           Uy           V5           Vn           Vz           W3           X2           Xn           Xx           Zk           a7           ak           bn           ck           d8           dk           e4           et           fm           i6           ju           jy           l6           m4           mq           mu           my           n1           nt           p5           q8           qx           sx           t9           tu           y9
   0 :    3522( 272)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4424( 785)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4424( 785)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4424( 785)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   3500( 182)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4424( 785)     55( 183)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)   4421( 521)      0( 476)
   1 :    4139( 122)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 843)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 843)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 843)   4424( 785)   4424( 785)   4429( 706)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4421( 521)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 843)     94(  95)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4425( 481)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 785)   4424( 843)   4424( 785)   4424( 785)   4424( 785)   4424( 785)      1( 308)
   2 :    4199(  82)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4425( 481)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4429( 706)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4425( 481)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4425( 481)   4424( 843)   4424( 843)   4432( 273)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4429( 706)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4425( 481)    124( 116)   4424( 843)   4424( 843)   4424( 843)   4429( 706)   4424( 843)   4425( 584)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4424( 843)   4425( 481)   4424( 843)   4424( 843)   4424( 843)   4424( 843)     39( 498)
   3 :    4357( 289)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 584)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4432( 273)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 584)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 584)   4425( 481)   4425( 481)   4436( 210)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4432( 273)   4425( 481)   4425( 481)   4425( 481)   4429( 706)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 584)    172(   4)   4425( 481)   4425( 481)   4425( 481)   4432( 273)   4425( 481)   4426( 170)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 481)   4425( 584)   4425( 481)   4425( 481)   4425( 481)   4425( 481)     52( 615)
   4 :    4421( 521)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4426( 170)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4436( 210)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4426( 170)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4426( 170)   4425( 584)   4425( 584)   4438( 123)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4436( 210)   4425( 584)   4425( 584)   4425( 584)   4432( 273)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4426( 170)    181( 152)   4425( 584)   4425( 584)   4425( 584)   4436( 210)   4425( 584)   4426( 386)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4425( 584)   4426( 170)   4425( 584)   4425( 584)   4425( 584)   4425( 584)    127( 585)
   5 :    4424( 785)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 386)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4438( 123)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 386)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 386)   4426( 170)   4426( 170)   4439( 354)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4438( 123)   4426( 170)   4426( 170)   4426( 170)   4436( 210)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 386)    565( 150)   4426( 170)   4426( 170)   4426( 170)   4438( 123)   4426( 170)   4426( 644)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 170)   4426( 386)   4426( 170)   4426( 170)   4426( 170)   4426( 170)    153( 816)
   6 :    4424( 843)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 644)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4439( 354)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 644)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 644)   4426( 386)   4426( 386)   4440(  80)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4439( 354)   4426( 386)   4426( 386)   4426( 386)   4439( 354)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 644)    594(  32)   4426( 386)   4426( 386)   4426( 386)   4439( 354)   4426( 386)   4427( 338)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 386)   4426( 644)   4426( 386)   4426( 386)   4426( 386)   4426( 386)    223( 907)
   7 :    4425( 481)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4427( 338)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4439( 523)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4427( 338)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4427( 338)   4426( 644)   4426( 644)   4443( 620)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4439( 523)   4426( 644)   4426( 644)   4426( 644)   4440(  80)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4427( 338)    633( 134)   4426( 644)   4426( 644)   4426( 644)   4439( 523)   4426( 644)   4428( 509)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4426( 644)   4427( 338)   4426( 644)   4426( 644)   4426( 644)   4426( 644)    258( 647)
   8 :    4425( 584)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4428( 509)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4440(  80)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4428( 509)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4428( 509)   4427( 338)   4427( 338)   4448( 441)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4440(  80)   4427( 338)   4427( 338)   4427( 338)   4443( 620)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4428( 509)    640(  92)   4427( 338)   4427( 338)   4427( 338)   4440(  80)   4427( 338)   4429( 211)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4427( 338)   4428( 509)   4427( 338)   4427( 338)   4427( 338)   4427( 338)    303( 590)
   9 :    4426( 170)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4429( 211)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4443( 620)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4429( 211)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4429( 211)   4428( 509)   4428( 509)   4448( 626)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4443( 620)   4428( 509)   4428( 509)   4428( 509)   4448( 441)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4429( 211)    664( 263)   4428( 509)   4428( 509)   4428( 509)   4443( 620)   4428( 509)   4429( 264)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4428( 509)   4429( 211)   4428( 509)   4428( 509)   4428( 509)   4428( 509)    323( 708)
  10 :    4426( 386)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 264)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4448( 441)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 264)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 264)   4429( 211)   4429( 211)   4448( 712)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4448( 441)   4429( 211)   4429( 211)   4429( 211)   4448( 626)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 264)    677( 147)   4429( 211)   4429( 211)   4429( 211)   4448( 441)   4429( 211)   4429( 383)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 211)   4429( 264)   4429( 211)   4429( 211)   4429( 211)   4429( 211)    365( 970)
