            89     A3     AJ     AS     Az     BG     BX     BZ     Bd     Bx     CH     CS     Cg     Ch     Ck     D4     Dx     Eq     FR     G8     Gb     Ge     I2     I8     I9     IJ     IX     Ik     KR     KZ     Kb     Kn     Kp     L8     Lf     Lk     M4     Mb     N8     Nc     Ns     O3     Oe     Oq     Ov     P3     PS     Pa     Pp     Q9     QU     Rt     Rw     Rx     S5     S8     Sy     T3     T7     Tk     Tw     U2     Ub     Uj     Uv     Uy     V5     Vn     Vz     W3     X2     Xn     Xx     Zk     a7     ak     bn     ck     d8     dk     e4     et     fm     i6     ju     jy     l6     m4     mq     mu     my     n1     nt     p5     q8     qx     sx     t9     tu     y9
   0 :    4571  30134   4571  29037   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571  28427   4571   4571   4571   4571   4571   4571   4571   4571  29474   4571   4571   4571   4571   4571   4571   4571  27910   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4571   4539
   1 :    4682   4712   4712   4712   4712  28590   4712   4712   4712   4712  28184   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  30630   4663   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4662   4712   4712   4712  29697   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   1325   4712   4712   4712   4712   4712   4699   4712   4712   4712   4712   4712   4698   4712   4712   4712  29214   4698
   2 :    4581  30134   4581  29037   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581  28427   4581   4581   4581   4581   4581   4581   4581   4581  29474   4581   4581   4581   4581   4581   4581   4581  27910   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4581   4511
   3 :    4682   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  29220   4712   4712  29844   4712   4712   4712   4712   4712   4712   4712   4712  28214   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  30630   4663   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  28620   4712   4662   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   1813   4712   4712   4712   4712   4712   4699   4712   4712   4712   4712   4712   4698   4712   4712   4712   4712   4698
   4 :   30614   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  29184   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  29670   4712   4712  28577   4712   4712   4712   4712   4712   4712   4712  28107   4712   4663   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4662   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712    172   4712   4712   4712   4712   4712   4699   4712   4712   4712   4712   4712   4698   4712   4712   4712   4712   4698
   5 :    4682   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  29220   4712   4712  29844   4712   4712   4712   4712   4712   4712   4712   4712  28214   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  30630   4663   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712  28620   4712   4662   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   4712   2145   4712   4712   4712   4712   4712   4699   4712   4712   4712   4712   4712   4698   4712   4712   4712   4712   4698
   6 :    4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541  28404   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541  29444   4541   4541   4541  27677   4541   4541   4541   4541   4541   4541  30077   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541  28947   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4541   4523
   7 :    4642   4642  28550   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642  30597   4642   4642   4642   4642  29650   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642  28040   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642  29174   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4642   4618
   8 :    4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649  28244   4649   4649   4649  28757   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649  29300   4649   4649   4649   4649   4649  29880   4649   4649   4649   4649   4649   4649   4649   4649   4649   4649   4618
   9 :    4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476  28774   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476  27374   4476   4476   4476   4476   4476   4476   4476  30970   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476  28297   4476   4476   4476  29920   4476   4476   4476   4476   4476   4476   4476   4476   4476  29300   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4476   4472
